School,Type,City,State
Abilene Christian University,Private,Abilene,Texas
Alabama A&M University,Public,Normal,Alabama
Alabama State University,Public,Montgomery,Alabama
Alcorn State University,Public,Alcorn,Mississippi
American University,Private,Washington,District Of Columbia
Appalachian State University,Public,Boone,North Carolina
Arizona State University,Public,Tempe,Arizona
Arkansas State University,Public,Jonesboro,Arkansas
Auburn University,Public,Auburn,Alabama
Austin Peay State University,Public,Clarksville,Tennessee
Ball State University,Public,Muncie,Indiana
Baylor University,Private,Waco,Texas
Bellarmine University,Private,Louisville,Kentucky
Belmont University,Private,Nashville,Tennessee
Bethune-Cookman University,Private,Daytona Beach,Florida
Boise State University,Public,Boise,Idaho
Boston College,Private,Chestnut Hill,Massachusetts
Boston University,Private,Boston,Massachusetts
Bowling Green State University,Public,Bowling Green,Ohio
Bradley University,Private,Peoria,Illinois
Brigham Young University,Private,Provo,Utah
Brown University,Private,Providence,Rhode Island
Bryant University,Private,Smithfield,Rhode Island
Bucknell University,Private,Lewisburg,Pennsylvania
Butler University,Private,Indianapolis,Indiana
California Baptist University,Private,Riverside,California
California Polytechnic State University – San Luis Obispo,Public,San Luis Obispo,California
California State University – Bakersfield,Public,Bakersfield,California
California State University – Fresno,Public,Fresno,California
California State University – Fullerton,Public,Fullerton,California
California State University – Long Beach,Public,Long Beach,California
California State University – Northridge,Public,Northridge,California
California State University – Sacramento,Public,Sacramento,California
Campbell University,Private,Buies Creek,North Carolina
Canisius College,Private,Buffalo,New York
Central Connecticut State University,Public,New Britain,Connecticut
Central Michigan University,Public,Mount Pleasant,Michigan
Charleston Southern University,Private,Charleston,South Carolina
Chicago State University,Public,Chicago,Illinois
Clemson University,Public,Clemson,South Carolina
Cleveland State University,Public,Cleveland,Ohio
Coastal Carolina University,Public,Conway,South Carolina
Colgate University,Private,Hamilton,New York
College of Charleston,Public,Charleston,South Carolina
College of the Holy Cross,Private,Worcester,Massachusetts
Colorado State University,Public,Fort Collins,Colorado
Columbia University,Private,New York,New York
Coppin State University,Public,Baltimore,Maryland
Cornell University,Private,Ithaca,New York
Creighton University,Private,Omaha,Nebraska
Dartmouth College,Private,Hanover,New Hampshire
Davidson College,Private,Davidson,North Carolina
Delaware State University,Public,Dover,Delaware
DePaul University,Private,Chicago,Illinois
Drake University,Private,Des Moines,Iowa
Drexel University,Private,Philadelphia,Pennsylvania
Duke University,Private,Durham,North Carolina
Duquesne University,Private,Pittsburgh,Pennsylvania
East Carolina University,Public,Greenville,North Carolina
East Tennessee State University,Public,Johnson City,Tennessee
Eastern Illinois University,Public,Charleston,Illinois
Eastern Kentucky University,Public,Richmond,Kentucky
Eastern Michigan University,Public,Ypsilanti,Michigan
Eastern Washington University,Public,Cheney,Washington
Elon University,Private,Elon,North Carolina
Fairfield University,Private,Fairfield,Connecticut
Fairleigh Dickinson University,Private,Teaneck,New Jersey
Florida A&M University,Public,Tallahassee,Florida
Florida Atlantic University,Public,Boca Raton,Florida
Florida Gulf Coast University,Public,Fort Myers,Florida
Florida International University,Public,Miami,Florida
Florida State University,Public,Tallahassee,Florida
Fordham University,Private,Bronx,New York
Furman University,Private,Greenville,South Carolina
Gardner-Webb University,Private,Boiling Springs,North Carolina
George Mason University,Public,Fairfax,Virginia
George Washington University,Private,Washington,District Of Columbia
Georgetown University,Private,Washington,District Of Columbia
Georgia Southern University,Public,Statesboro,Georgia
Georgia State University,Public,Atlanta,Georgia
Georgia Tech,Public,Atlanta,Georgia
Gonzaga University,Private,Spokane,Washington
Grambling State University,Public,Grambling,Louisiana
Grand Canyon University,Private,Phoenix,Arizona
Hamline University,Public,Saint Paul,Minnesota
Hampton University,Private,Hampton,Virginia
Harvard University,Private,Cambridge,Massachusetts
High Point University,Private,High Point,North Carolina
Hofstra University,Private,Hempstead,New York
Houston Christian University,Private,Houston,Texas
Howard University,Private,Washington,District Of Columbia
Idaho State University,Public,Pocatello,Idaho
Illinois State University,Public,Normal,Illinois
Indiana State University,Public,Terre Haute,Indiana
Indiana University,Public,Bloomington,Indiana
Indiana University-Purdue University – Indianapolis (IUPUI),Public,Indianapolis,Indiana
Iona University,Private,New Rochelle,New York
Iowa State University,Public,Ames,Iowa
Jackson State University,Public,Jackson,Mississippi
Jacksonville State University,Public,Jacksonville,Alabama
Jacksonville University,Private,Jacksonville,Florida
James Madison University,Public,Harrisonburg,Virginia
Kansas State University,Public,Manhattan,Kansas
Kennesaw State University,Public,Kennesaw,Georgia
Kent State University,Public,Kent,Ohio
La Salle University,Private,Philadelphia,Pennsylvania
Lafayette College,Private,Easton,Pennsylvania
Lamar University,Public,Beaumont,Texas
Lehigh University,Private,Bethlehem,Pennsylvania
Liberty University,Private,Lynchburg,Virginia
Lindenwood University,Private,Saint Charles,Missouri
Lipscomb University,Private,Nashville,Tennessee
Long Island University,Private,Long Island,New York
Longwood University,Public,Farmville,Virginia
Louisiana State University (LSU),Public,Baton Rouge,Louisiana
Louisiana Tech University,Public,Ruston,Louisiana
Loyola Marymount University,Private,Los Angeles,California
Loyola University Chicago,Private,Chicago,Illinois
Loyola University Maryland,Private,Baltimore,Maryland
Manhattan College,Private,Riverdale,New York
Marist College,Private,Poughkeepsie,New York
Marquette University,Private,Milwaukee,Wisconsin
Marshall University,Public,Huntington,West Virginia
McNeese State University,Public,Lake Charles,Louisiana
Mercer University,Private,Macon,Georgia
Merrimack College,Private,North Andover,Massachusetts
Miami University,Public,Oxford,Ohio
Michigan State University,Public,East Lansing,Michigan
Middle Tennessee State University,Public,Murfreesboro,Tennessee
Mississippi State University,Public,Mississippi State,Mississippi
Mississippi Valley State University,Public,Itta Bena,Mississippi
Missouri State University,Public,Springfield,Missouri
Monmouth University,Private,West Long Branch,New Jersey
Montana State University,Public,Bozeman,Montana
Morehead State University,Public,Morehead,Kentucky
Morgan State University,Public,Baltimore,Maryland
Mount St. Mary's University,Private,Emmitsburg,Maryland
Murray State University,Public,Murray,Kentucky
New Jersey Institute of Technology,Public,Newark,New Jersey
New Mexico State University,Public,Las Cruces,New Mexico
Niagara University,Private,Niagara University,New York
Nicholls State University,Public,Thibodaux,Louisiana
Norfolk State University,Public,Norfolk,Virginia
North Carolina A&T State University,Public,Greensboro,North Carolina
North Carolina Central University,Public,Durham,North Carolina
North Carolina State University,Public,Raleigh,North Carolina
North Dakota State University,Public,Fargo,North Dakota
Northeastern University,Private,Boston,Massachusetts
Northern Arizona University,Public,Flagstaff,Arizona
Northern Illinois University,Public,Dekalb,Illinois
Northern Kentucky University,Public,Highland Heights,Kentucky
Northwestern State University of Louisiana,Public,Natchitoches,Louisiana
Northwestern University,Private,Evanston,Illinois
Oakland University,Public,Rochester,Michigan
Ohio State University,Public,Columbus,Ohio
Ohio University,Public,Athens,Ohio
Oklahoma State University,Public,Stillwater,Oklahoma
Old Dominion University,Public,Norfolk,Virginia
Oral Roberts University,Private,Tulsa,Oklahoma
Oregon State University,Public,Corvallis,Oregon
Penn State,Public,University Park,Pennsylvania
Pepperdine University,Private,Malibu,California
Portland State University,Public,Portland,Oregon
Prairie View A & M University,Public,Prairie View,Texas
Presbyterian College,Private,Clinton,South Carolina
Princeton University,Private,Princeton,New Jersey
Providence College,Private,Providence,Rhode Island
Purdue University,Public,West Lafayette,Indiana
Purdue University – Fort Wayne,Public,Fort Wayne,Indiana
Queens University of Charlotte,Private,Charlotte,North Carolina
Quinnipiac University,Private,Hamden,Connecticut
Radford University,Public,Radford,Virginia
Rice University,Private,Houston,Texas
Rider University,Private,Lawrenceville,New Jersey
Robert Morris University – Pennsylvania,Private,Moon Township,Pennsylvania
Rutgers University,Public,Piscataway,New Jersey
Sacred Heart University,Private,Fairfield,Connecticut
Saint Francis University,Private,Loretto,Pennsylvania
Saint Joseph's University,Private,Philadelphia,Pennsylvania
Saint Louis University,Private,St. Louis,Missouri
Saint Mary's College of California,Private,Moraga,California
Saint Peter's University,Private,Jersey City,New Jersey
Sam Houston State University,Public,Huntsville,Texas
Samford University,Private,Birmingham,Alabama
San Diego State University,Public,San Diego,California
San Jose State University,Public,San Jose,California
Santa Clara University,Private,Santa Clara,California
Seattle University,Private,Seattle,Washington
Seton Hall University,Private,South Orange,New Jersey
Siena College,Private,Loudonville,New York
South Carolina State University,Public,Orangeburg,South Carolina
South Dakota State University,Public,Brookings,South Dakota
Southeast Missouri State University,Public,Cape Girardeau,Missouri
Southeastern Louisiana University,Public,Hammond,Louisiana
Southern Illinois University Carbondale,Public,Carbondale,Illinois
Southern Illinois University Edwardsville,Public,Edwardsville,Illinois
Southern Methodist University – SMU,Private,Dallas,Texas
